[02/19/2024 04:49:59] PM INFO: [__init__.<module>] F:\seungsu\projects\pscraper\src\crawler appended to path
[02/19/2024 04:49:59] PM INFO: [__init__.<module>] F:\seungsu\projects\pscraper\src\register appended to path
[02/19/2024 04:49:59] PM INFO: [__init__.<module>] F:\seungsu\projects\pscraper\src\validator appended to path
[02/19/2024 04:49:59] PM INFO: [__init__.<module>] F:\seungsu\projects\pscraper\src\utils appended to path
[02/19/2024 04:49:59] PM INFO: [__init__.<module>] F:\seungsu\projects\pscraper\src\filehandler appended to path
[02/19/2024 04:50:01] PM WARNING: [crawling_manager.__init__] Remove Dir Tree: F:\seungsu\projects\pscraper\bin\patchfiles\adobe
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Make Dir: F:\seungsu\projects\pscraper\bin\patchfiles\adobe
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Chrome Option --disable-popup-blocking Added.
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Chrome Option --disable-extensions Added.
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Chrome Option --disable-gpu Added.
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Chrome Option --no-sandbox Added.
[02/19/2024 04:50:01] PM INFO: [crawling_manager.__init__] Chrome Option user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Added.
[02/19/2024 04:50:14] PM INFO: [crawling_manager.__init__] Successfully Initialized
[02/19/2024 04:50:14] PM INFO: [crawling_manager.__init__] Python Version: 3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]
[02/19/2024 04:50:14] PM INFO: [crawling_manager.__init__] Category: adobe
[02/19/2024 04:50:14] PM INFO: [crawling_manager.__init__] Base URL: https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html
[02/19/2024 04:50:14] PM INFO: [crawling_manager.__init__] HTML parsing OK
[02/19/2024 04:50:14] PM INFO: [adobe_continuous_crawling_manager.run] [Adobe Continuous Track] 전체 패치 목록 리스트
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 1. 23.008.20533 Planned update, Feb 13, 2024
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 2. 23.008.20470 Optional update, Jan 16, 2024
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 3. 23.008.20458 Optional update, Jan 04, 2024
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 4. 23.008.2042x Planned update, Dec 12, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 5. 23.006.20380 Planned update, Nov 14, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 6. 23.006.20360 Optional update, Oct 17, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 7. 23.006.20320 Planned update, Sep 12, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 8. 23.003.20284 Optional update, Aug 22, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 9. 23.003.20269 Planned update, Aug 08, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 10. 23.003.20244 Optional update, July 11, 2023
[02/19/2024 04:50:15] PM INFO: [adobe_crawling_manager.get_title_and_link] 11. 23.003.20215 Optional update, Jun 21, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 12. 23.003.20201 Planned update, Jun 6, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 13. 23.001.2017x Optional update, May 09, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 14. 23.001.20143 Planned update, Apr 11, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 15. 23.001.20093 Optional update, Mar 22, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 16. 23.001.2006x Planned update, Mar 7, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 17. 22.003.20322 Optional update, Feb 16, 2023 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 18. 22.003.20314 Optional update, Jan 24, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 19. 22.003.20310 Planned update, Jan 10, 2023
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 20. 22.003.20282 (Win), 22.003.20281 (Mac) Optional update, Nov 17, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 21. 22.003.20263 Optional update, Oct 22, 2022 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 22. 22.003.20258 Planned update, Oct 11, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 23. 22.002.20212 Planned update, Sep 09, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 24. 22.002.20191 Planned update, Aug 09, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 25. 22.001.20169 Planned update, Jul 12, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 26. 22.001.20142 Planned update, Jun 14, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 27. 22.001.20117 (Win), 22.001.20112 (Mac) Planned update, Apr 12, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 28. 22.001.20085 Planned update, Mar 07, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 29. 21.011.20039 Planned update, Jan 11, 2022
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 30. 21.007.20099 Planned update, Oct 12, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 31. 21.007.20095 (Win), 21.007.20096 (Mac) Optional update, Sept 29, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 32. 21.007.20091 Planned update, Sept 14, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 33. 21.005.20060 Optional update, July 28, 2021 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 34. 21.005.20058 Planned update, July 13, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 35. 21.005.20054 Optional update, June 23, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 36. 21.005.20048 Planned update, June 08, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 37. 21.001.20155 Planned update, May 11, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 38. 21.001.201xx Optional update, Apr 16, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 39. 21.001.20145 Optional update, Mar 10, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 40. 21.001.20142 Optional update, Feb 25, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 41. 21.001.20140 Optional update, Feb 22, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 42. 21.001.20138 Optional update, Feb 15, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 43. 21.001.20135 Planned update, Feb 09, 2021
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 44. 20.013.20074 Out of cycle update, December 09, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 45. 20.013.20066 Optional update, Nov 23, 2020 (Windows Only)
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 46. 20.013.20064 Planned update, Nov 03, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 47. 20.012.20048 Optional update, Sep 24, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 48. 20.012.20043 Optional update, Aug 19, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 49. 20.012.20041 Planned update, Aug 11, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 50. 20.009.20074 Optional update, July 06, 2020
[02/19/2024 04:50:16] PM INFO: [adobe_crawling_manager.get_title_and_link] 51. 20.009.20067 Optional update, June 02, 2020
